city,date_create,timestamp,rank,advertised,hotel_name,hotel_source,ad_headline,ad_source,price,rating_stars,rating_reviews,total_hotels,alt1,alt2,alt3,alt4,alt_rest
London England United-Kingdom-,2014-4-14,Mon Apr 14 2014 18:32:31 GMT-0400 (EDT),1,true,,,London Hotel Express Deals℠ No Bidding,Priceline.com,$100,,,2471,,,,,
London England United-Kingdom-,2014-4-14,Mon Apr 14 2014 18:32:31 GMT-0400 (EDT),2,false,The May Fair,KAYAK,,,$409,5,Excellent,2471,Hotels.com,Expedia,Travelocity,Booking.com,13 more sites 
London England United-Kingdom-,2014-4-14,Mon Apr 14 2014 18:32:31 GMT-0400 (EDT),3,false,Radisson Blu Edwardian Hampshire,KAYAK,,,$280,5,Excellent,2471,Hotels.com,Expedia,Travelocity,Booking.com,11 more sites 
London England United-Kingdom-,2014-4-14,Mon Apr 14 2014 18:32:31 GMT-0400 (EDT),4,false,London Hilton on Park Lane,Amoma,,,$366,5,Excellent,2471,KAYAK,Hotels.com,Travelocity,Booking.com,9 more sites 
London England United-Kingdom-,2014-4-14,Mon Apr 14 2014 18:32:31 GMT-0400 (EDT),5,false,Radisson Blu Edwardian Bloomsbury Street,KAYAK,,,$295,4,Excellent,2471,Hotels.com,Expedia,Travelocity,Booking.com,11 more sites 
London England United-Kingdom-,2014-4-14,Mon Apr 14 2014 18:32:31 GMT-0400 (EDT),6,false,The Montcalm London,Expedia,,,$358,5,Excellent,2471,Travelocity,KAYAK,Booking.com,Priceline,10 more sites 
London England United-Kingdom-,2014-4-14,Mon Apr 14 2014 18:32:31 GMT-0400 (EDT),7,true,,,Save up to 60% on London Hotels,Hotwire.com,$57,,,2471,,,,,
London England United-Kingdom-,2014-4-14,Mon Apr 14 2014 18:32:31 GMT-0400 (EDT),8,false,Grosvenor House  A JW Marriott Hotel,Amoma,,,$401,5,Excellent,2471,Hotels.com,Expedia,Travelocity,Booking.com,9 more sites 
London England United-Kingdom-,2014-4-14,Mon Apr 14 2014 18:32:31 GMT-0400 (EDT),9,false,The Langham London,Splendia,,,$351,5,Excellent,2471,KAYAK,Booking.com,Priceline,Hotels.com,10 more sites 
London England United-Kingdom-,2014-4-14,Mon Apr 14 2014 18:32:31 GMT-0400 (EDT),10,false,The Rembrandt,Orbitz,,,$304,4,Excellent,2471,Hotels.com,Expedia,Travelocity,Booking.com,8 more sites 
London England United-Kingdom-,2014-4-14,Mon Apr 14 2014 18:32:31 GMT-0400 (EDT),11,false,Plaza on the River London,Orbitz,,,$330,4,Excellent,2471,Expedia,Hotels.com,Travelocity,Booking.com,8 more sites 
London England United-Kingdom-,2014-4-14,Mon Apr 14 2014 18:32:31 GMT-0400 (EDT),12,false,InterContinental London Park Lane,KAYAK,,,$285,5,Excellent,2471,Travelocity,Booking.com,Priceline,Orbitz,9 more sites 
London England United-Kingdom-,2014-4-14,Mon Apr 14 2014 18:32:31 GMT-0400 (EDT),13,false,Park Plaza Victoria London,Hotels.com,,,$275,4,Excellent,2471,KAYAK,Expedia,Travelocity,Orbitz,7 more sites 
London England United-Kingdom-,2014-4-14,Mon Apr 14 2014 18:32:31 GMT-0400 (EDT),14,true,,,Un-Booking-Believable Hotel Deals in London,Booking.com,$71,,,2471,,,,,
London England United-Kingdom-,2014-4-14,Mon Apr 14 2014 18:32:31 GMT-0400 (EDT),15,false,Hotel Russell,Hotels.com,,,$234,4,Good,2471,KAYAK,Expedia,Travelocity,Booking.com,5 more sites 
London England United-Kingdom-,2014-4-14,Mon Apr 14 2014 18:32:31 GMT-0400 (EDT),16,false,Park Lane Mews Hotel,Amoma,,,$203,4,Good,2471,Hotels.com,Expedia,Travelocity,Booking.com,10 more sites 
London England United-Kingdom-,2014-4-14,Mon Apr 14 2014 18:32:31 GMT-0400 (EDT),17,false,St. James\' Court  A Taj Hotel  London,Easyclicktravel,,,$262,4,Excellent,2471,KAYAK,Expedia,Hotels.com,Booking.com,7 more sites 
London England United-Kingdom-,2014-4-14,Mon Apr 14 2014 18:32:31 GMT-0400 (EDT),18,false,The Marylebone Hotel,Orbitz,,,$279,4,Excellent,2471,Expedia,Hotels.com,Travelocity,Booking.com,7 more sites 
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 18:32:40 GMT-0400 (EDT),1,true,,,Dubai Hotel Express Deals℠ No Bidding,Priceline.com,$73,,,779,,,,,
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 18:32:40 GMT-0400 (EDT),2,false,Imperial Suites Hotel,LateRooms.com,,,$75,3,Okay,779,Amoma,Booking.com,Priceline,Hotelclub,
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 18:32:40 GMT-0400 (EDT),3,false,Metropolitan Deira Hotel,MetropolitanDeira Hotel,,,$78,4,Good,779,KAYAK,Booking.com,Priceline,Travelocity,7 more sites 
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 18:32:40 GMT-0400 (EDT),4,false,Ramee Guestline Deira,LateRooms.com,,,$88,2,Okay,779,KAYAK,Booking.com,Priceline,Amoma,
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 18:32:40 GMT-0400 (EDT),5,false,Melia Dubai,Jetsetter,,,$123,5,Excellent,779,Priceline,KAYAK,Booking.com,Travelocity,6 more sites 
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 18:32:40 GMT-0400 (EDT),6,false,Warwick Hotel Dubai,Hotels.com,,,$156,4,,779,Venere,Venere,,,
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 18:32:40 GMT-0400 (EDT),7,true,,,Un-Booking-Believable Hotel Deals in Dubai,Booking.com,$45,,,779,,,,,
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 18:32:40 GMT-0400 (EDT),8,false,Park Hyatt Dubai,Hyatt,,,$632,5,Excellent,779,,,,,
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 18:32:40 GMT-0400 (EDT),9,false,Gloria Hotel,Amoma,,,$212,4,Good,779,Booking.com,Priceline,Travelocity,Expedia,
                                                4 more sites 
                    
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 18:32:40 GMT-0400 (EDT),10,false,Al Qasr Madinat Jumeirah,Booking.com,,,$1089,5,Excellent,779,Priceline,Travelocity,Venere,Expedia,5 more sites 
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 18:32:40 GMT-0400 (EDT),11,false,Orchid Hotel,Booking.com,,,$68,3,Okay,779,Priceline,Travelocity,Hotels.com,Venere,5 more sites 
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 18:32:40 GMT-0400 (EDT),12,false,Auris First Central Hotel Suites,Travelocity,,,$110,4,Good,779,Venere,Expedia,Hotels.com,Booking.com,5 more sites 
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 18:32:40 GMT-0400 (EDT),13,false,Park Regis Kris Kin Hotel Dubai,ParkRegis Kris Kin Hotel Dubai,,,$150,4,Excellent,779,Booking.com,Priceline,Travelocity,Venere,4 more sites 
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 18:32:40 GMT-0400 (EDT),14,true,,,One&Only Luxury Resorts - Visit the official site,oneandonlyresorts.com,Check Rates,,,779,,,,,
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 18:32:40 GMT-0400 (EDT),15,false,Welcome Hotel Apartments,Booking.com,,,$109,4,Good,779,Priceline,Priceline,,,
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 18:32:40 GMT-0400 (EDT),16,false,Novotel World Trade Centre Dubai,Novotel,,,$136,4,Good,779,Booking.com,Priceline,Travelocity,Venere,5 more sites 
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 18:32:40 GMT-0400 (EDT),17,false,Al Raya Hotel Apartments,Amoma,,,$178,3,Good,779,Booking.com,Priceline,Booking.com,Priceline,
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 18:32:40 GMT-0400 (EDT),18,false,Imperial Hotel Apartments,Booking.com,,,$95,3,Good,779,Priceline,Priceline,,,
Paris France-,2014-4-14,Mon Apr 14 2014 18:32:58 GMT-0400 (EDT),1,true,,,Paris Hotel Express Deals℠ No Bidding,Priceline.com,$106,,,3697,,,,,
Paris France-,2014-4-14,Mon Apr 14 2014 18:32:58 GMT-0400 (EDT),2,false,L\'Empire Paris,Orbitz,,,$371,4,Excellent,3697,Hotels.com,Expedia,Travelocity,Booking.com,9 more sites 
Paris France-,2014-4-14,Mon Apr 14 2014 18:32:58 GMT-0400 (EDT),3,false,Hotel Scribe Paris Managed by Sofitel,Amoma,,,$501,5,Excellent,3697,Travelocity,Hotels.com,Expedia,Booking.com,11 more sites 
Paris France-,2014-4-14,Mon Apr 14 2014 18:32:58 GMT-0400 (EDT),4,false,Paris Marriott Opera Ambassador Hotel,Amoma,,,$388,4,Excellent,3697,Travelocity,Hotels.com,Orbitz,Booking.com,8 more sites 
Paris France-,2014-4-14,Mon Apr 14 2014 18:32:58 GMT-0400 (EDT),5,false,Best Western Premier Hotel L\'Horset Opera,KAYAK,,,$341,4,Excellent,3697,Booking.com,Priceline,Agoda,Bestwestern,
Paris France-,2014-4-14,Mon Apr 14 2014 18:32:58 GMT-0400 (EDT),6,false,Best Western Premier Louvre Saint Honoré,Orbitz,,,$281,4,Good,3697,Booking.com,Priceline,Travelocity,Expedia,7 more sites 
Paris France-,2014-4-14,Mon Apr 14 2014 18:32:58 GMT-0400 (EDT),7,true,,,Un-Booking-Believable Hotel Deals in Paris,Booking.com,$98,,,3697,,,,,
Paris France-,2014-4-14,Mon Apr 14 2014 18:32:58 GMT-0400 (EDT),8,false,Castille Paris,Orbitz,,,$361,4,Excellent,3697,Hotels.com,Expedia,Travelocity,Booking.com,12 more sites 
Paris France-,2014-4-14,Mon Apr 14 2014 18:32:58 GMT-0400 (EDT),9,false,Les Jardins du Marais,Amoma,,,$237,4,Excellent,3697,Preferredhotelgroup,KAYAK,Getaroom,Agoda,
Paris France-,2014-4-14,Mon Apr 14 2014 18:32:58 GMT-0400 (EDT),10,false,Villa Pantheon,KAYAK,,,$261,4,Good,3697,Orbitz,Travelocity,Hotels.com,Expedia,8 more sites 
Paris France-,2014-4-14,Mon Apr 14 2014 18:32:58 GMT-0400 (EDT),11,false,Novotel Paris Les Halles,Orbitz,,,$417,4,Good,3697,Cheaptickets,Travelocity,Booking.com,Hotels.com,8 more sites 
